X(mg),Y(mg),Z(mg),X(dps),Y(dps),Z(dps),X(mGa),Y(mGa),Z(mGa),Output
-979,-110,-159,0.8,-2.7,1.0,-313,-277,61,0
-980,-110,-157,1.1,-2.6,0.9,-304,-292,51,0
-978,-111,-156,1.1,-2.5,0.9,-306,-283,59,0
-982,-107,-157,0.8,-2.3,0.7,-314,-277,55,0
-979,-115,-155,1.3,-2.3,0.7,-302,-286,51,0
-983,-105,-155,0.9,-2.1,0.7,-310,-283,44,0
-980,-112,-155,1.1,-2.1,0.5,-306,-279,56,0
-980,-108,-155,0.9,-1.9,0.4,-299,-290,56,0
-980,-109,-158,0.4,-2.0,0.4,-313,-276,44,0
-981,-111,-156,1.2,-2.2,0.7,-312,-292,51,0
-984,-108,-155,0.8,-2.5,0.9,-311,-289,54,0
